Device: cuda
GPU: NVIDIA A100-SXM4-40GB, VRAM: 42.4 GB
N=4096, n_scr=18, delta1=2631.4μm, delta_n=150.0μm
r₀=3.0cm, D/r₀=5.02
VRAM per realization: ~3.2 GB
Target: 10000 realizations (8000/1000/1000 split)

Vacuum propagation...
Vacuum 1/e² radius: 1000px = 150.0mm

Generating 10000 realizations...
  [50/10000] generated=50, skipped=0 | 0.5 real/s | ETA 21311s | VRAM 3.5GB
  [100/10000] generated=100, skipped=0 | 0.5 real/s | ETA 21227s | VRAM 3.5GB
  [150/10000] generated=150, skipped=0 | 0.5 real/s | ETA 21111s | VRAM 3.5GB
  [200/10000] generated=200, skipped=0 | 0.5 real/s | ETA 20991s | VRAM 3.5GB
  [250/10000] generated=250, skipped=0 | 0.5 real/s | ETA 20873s | VRAM 3.5GB
  [300/10000] generated=300, skipped=0 | 0.5 real/s | ETA 20748s | VRAM 3.5GB
  [350/10000] generated=350, skipped=0 | 0.5 real/s | ETA 20625s | VRAM 3.5GB
  [400/10000] generated=400, skipped=0 | 0.5 real/s | ETA 20508s | VRAM 3.5GB
  [450/10000] generated=450, skipped=0 | 0.5 real/s | ETA 20394s | VRAM 3.5GB
  [500/10000] generated=500, skipped=0 | 0.5 real/s | ETA 20282s | VRAM 3.5GB
  [550/10000] generated=550, skipped=0 | 0.5 real/s | ETA 20171s | VRAM 3.5GB
  [600/10000] generated=600, skipped=0 | 0.5 real/s | ETA 20061s | VRAM 3.5GB
  [650/10000] generated=650, skipped=0 | 0.5 real/s | ETA 19953s | VRAM 3.5GB
  [700/10000] generated=700, skipped=0 | 0.5 real/s | ETA 19845s | VRAM 3.5GB
  [750/10000] generated=750, skipped=0 | 0.5 real/s | ETA 19736s | VRAM 3.5GB
  [800/10000] generated=800, skipped=0 | 0.5 real/s | ETA 19629s | VRAM 3.5GB
  [850/10000] generated=850, skipped=0 | 0.5 real/s | ETA 19521s | VRAM 3.5GB
  [900/10000] generated=900, skipped=0 | 0.5 real/s | ETA 19412s | VRAM 3.5GB
  [950/10000] generated=950, skipped=0 | 0.5 real/s | ETA 19304s | VRAM 3.5GB
  [1000/10000] generated=1000, skipped=0 | 0.5 real/s | ETA 19195s | VRAM 3.5GB
  [1050/10000] generated=1050, skipped=0 | 0.5 real/s | ETA 19093s | VRAM 3.5GB
  [1100/10000] generated=1100, skipped=0 | 0.5 real/s | ETA 18990s | VRAM 3.5GB
  [1150/10000] generated=1150, skipped=0 | 0.5 real/s | ETA 18887s | VRAM 3.5GB
  [1200/10000] generated=1200, skipped=0 | 0.5 real/s | ETA 18783s | VRAM 3.5GB
  [1250/10000] generated=1250, skipped=0 | 0.5 real/s | ETA 18676s | VRAM 3.5GB
  [1300/10000] generated=1300, skipped=0 | 0.5 real/s | ETA 18568s | VRAM 3.5GB
  [1350/10000] generated=1350, skipped=0 | 0.5 real/s | ETA 18459s | VRAM 3.5GB
  [1400/10000] generated=1400, skipped=0 | 0.5 real/s | ETA 18351s | VRAM 3.5GB
  [1450/10000] generated=1450, skipped=0 | 0.5 real/s | ETA 18243s | VRAM 3.5GB
  [1500/10000] generated=1500, skipped=0 | 0.5 real/s | ETA 18136s | VRAM 3.5GB
  [1550/10000] generated=1550, skipped=0 | 0.5 real/s | ETA 18028s | VRAM 3.5GB
  [1600/10000] generated=1600, skipped=0 | 0.5 real/s | ETA 17920s | VRAM 3.5GB
  [1650/10000] generated=1650, skipped=0 | 0.5 real/s | ETA 17812s | VRAM 3.5GB
  [1700/10000] generated=1700, skipped=0 | 0.5 real/s | ETA 17704s | VRAM 3.5GB
  [1750/10000] generated=1750, skipped=0 | 0.5 real/s | ETA 17596s | VRAM 3.5GB
  [1800/10000] generated=1800, skipped=0 | 0.5 real/s | ETA 17488s | VRAM 3.5GB
  [1850/10000] generated=1850, skipped=0 | 0.5 real/s | ETA 17381s | VRAM 3.5GB
  [1900/10000] generated=1900, skipped=0 | 0.5 real/s | ETA 17273s | VRAM 3.5GB
  [1950/10000] generated=1950, skipped=0 | 0.5 real/s | ETA 17165s | VRAM 3.5GB
  [2000/10000] generated=2000, skipped=0 | 0.5 real/s | ETA 17058s | VRAM 3.5GB
  [2050/10000] generated=2050, skipped=0 | 0.5 real/s | ETA 16950s | VRAM 3.5GB
  [2100/10000] generated=2100, skipped=0 | 0.5 real/s | ETA 16842s | VRAM 3.5GB
  [2150/10000] generated=2150, skipped=0 | 0.5 real/s | ETA 16736s | VRAM 3.5GB
  [2200/10000] generated=2200, skipped=0 | 0.5 real/s | ETA 16631s | VRAM 3.5GB
  [2250/10000] generated=2250, skipped=0 | 0.5 real/s | ETA 16526s | VRAM 3.5GB
  [2300/10000] generated=2300, skipped=0 | 0.5 real/s | ETA 16420s | VRAM 3.5GB
